iter	Passed	Remaining
723	6253	2384
724	6258	2373
725	6262	2363
726	6267	2353
727	6272	2343
728	6277	2333
729	6281	2323
730	6286	2313
731	6290	2303
732	6295	2293
733	6299	2283
734	6304	2273
735	6309	2263
736	6313	2253
737	6317	2242
738	6322	2232
739	6326	2222
740	6331	2212
741	6335	2203
742	6340	2193
743	6344	2183
744	6349	2173
745	6353	2163
746	6358	2153
747	6362	2143
748	6367	2133
749	6371	2123
750	6376	2114
751	6381	2104
752	6386	2094
753	6390	2084
754	6394	2074
755	6398	2065
756	6403	2055
757	6408	2045
758	6412	2036
759	6417	2026
760	6421	2016
761	6425	2007
762	6430	1997
763	6434	1987
764	6438	1977
765	6443	1968
766	6448	1958
767	6452	1949
768	6456	1939
769	6460	1929
770	6465	1920
771	6469	1910
772	6474	1901
773	6477	1891
774	6482	1882
775	6487	1872
776	6490	1862
777	6495	1853
778	6500	1844
779	6505	1834
780	6509	1825
781	6513	1815
782	6518	1806
783	6523	1797
784	6528	1788
785	6531	1778
786	6536	1769
787	6540	1759
788	6545	1750
789	6548	1740
790	6553	1731
791	6558	1722
792	6562	1713
793	6567	1703
794	6571	1694
795	6576	1685
796	6580	1676
797	6585	1666
798	6588	1657
799	6592	1648
800	6596	1638
801	6601	1629
802	6606	1620
803	6610	1611
804	6614	1602
805	6619	1593
806	6624	1584
807	6628	1575
808	6633	1566
809	6637	1556
810	6642	1547
811	6646	1538
812	6651	1529
813	6655	1520
814	6659	1511
815	6664	1502
816	6669	1493
817	6673	1484
818	6678	1475
819	6682	1466
820	6687	1457
821	6691	1449
822	6696	1440
823	6701	1431
824	6705	1422
825	6709	1413
826	6714	1404
827	6719	1395
828	6722	1386
829	6726	1377
830	6731	1368
831	6736	1360
832	6740	1351
833	6744	1342
834	6749	1333
835	6753	1324
836	6758	1316
837	6763	1307
838	6767	1298
839	6772	1289
840	6776	1281
841	6780	1272
842	6785	1263
843	6790	1255
844	6794	1246
845	6799	1237
846	6804	1229
847	6808	1220
848	6813	1211
849	6818	1203
850	6822	1194
851	6826	1185
852	6830	1177
853	6835	1168
854	6840	1160
855	6844	1151
856	6849	1142
857	6854	1134
858	6858	1125
859	6862	1117
860	6867	1108
861	6871	1100
862	6876	1091
863	6881	1083
864	6886	1074
865	6890	1066
866	6895	1057
867	6899	1049
868	6904	1040
869	6908	1032
870	6912	1023
871	6917	1015
872	6921	1006
873	6926	998
874	6930	990
875	6935	981
876	6939	973
877	6944	964
878	6948	956
879	6953	948
880	6958	939
881	6962	931
882	6967	923
883	6971	914
884	6976	906
885	6981	898
886	6986	890
887	6991	881
888	6995	873
889	7000	865
890	7004	856
891	7009	848
892	7014	840
893	7018	832
894	7022	823
895	7027	815
896	7032	807
897	7036	799
898	7040	790
899	7044	782
900	7049	774
901	7053	766
902	7058	758
903	7063	750
904	7067	741
905	7072	733
906	7077	725
907	7081	717
908	7085	709
909	7090	701
910	7094	693
911	7099	685
912	7103	676
913	7108	668
914	7112	660
915	7117	652
916	7122	644
917	7125	636
918	7129	628
919	7134	620
920	7138	612
921	7143	604
922	7148	596
923	7152	588
924	7157	580
925	7162	572
926	7167	564
927	7172	556
928	7176	548
929	7181	540
930	7185	532
931	7189	524
932	7194	516
933	7198	508
934	7203	500
935	7208	492
936	7212	484
937	7217	477
938	7222	469
939	7227	461
940	7231	453
941	7235	445
942	7240	437
943	7244	429
944	7249	421
945	7253	414
946	7258	406
947	7262	398
948	7267	390
949	7272	382
950	7276	374
951	7281	367
952	7286	359
953	7290	351
954	7295	343
955	7299	335
956	7304	328
957	7308	320
958	7313	312
959	7317	304
960	7322	297
961	7326	289
962	7330	281
963	7335	273
964	7340	266
965	7344	258
966	7348	250
967	7353	243
968	7357	235
969	7361	227
970	7365	219
971	7370	212
972	7374	204
973	7377	196
974	7381	189
975	7386	181
976	7390	173
977	7395	166
978	7399	158
979	7404	151
980	7408	143
981	7413	135
982	7417	128
983	7421	120
984	7425	113
985	7430	105
986	7433	97
987	7437	90
988	7441	82
989	7446	75
990	7451	67
991	7455	60
992	7460	52
993	7465	45
994	7469	37
995	7474	30
996	7478	22
997	7483	14
998	7487	7
999	7492	0
